Date,ATM_IV
2005-03-29,11.127319131090958
2005-03-30,11.95518056825977
2005-03-31,12.121909974745442
2005-04-01,12.223061000951501
2005-04-04,12.29474646403777
2005-04-05,12.054247467978298
2005-04-06,11.925822804682857
2005-04-07,11.900928682169408
2005-04-08,11.864877728213417
2005-04-11,11.82597241924198
2005-04-12,11.794634871455688
2005-04-13,11.856070801019484
2005-04-14,12.015618634616237
2005-04-15,12.278829264493949
2005-04-18,12.50012413318604
2005-04-19,12.750554328149057
2005-04-20,13.127569792016537
2005-04-21,13.767768719799479
2005-04-22,14.29451523566878
2005-04-25,14.763761861889671
2005-04-26,15.216379974175904
2005-04-27,15.56927776177131
2005-04-28,15.771617175432977
2005-04-29,16.130403696866388
2005-05-02,16.44266889262464
2005-05-03,16.697911704135972
2005-05-04,16.938721128421562
2005-05-05,17.123912855570794
2005-05-06,17.248595969957268
2005-05-09,17.300785414729344
2005-05-10,17.425387429150277
2005-05-11,17.532494133757307
2005-05-12,17.606042923572936
2005-05-13,17.528258476378287
2005-05-16,17.33726221872689
2005-05-17,17.203658850320092
2005-05-18,17.127686699283633
2005-05-19,16.825927244425625
2005-05-20,16.265732133834636
2005-05-23,15.794325009884293
2005-05-24,15.395833579862924
2005-05-25,14.931654228328478
2005-05-26,14.560061146526591
2005-05-27,13.985102788845557
2005-05-31,13.426830909260852
2005-06-01,13.012314456480462
2005-06-02,12.67355687865802
2005-06-03,12.401935449913758
2005-06-06,12.18148678988911
2005-06-07,11.975779407134638
2005-06-08,11.78214049512031
2005-06-09,11.452128721473226
2005-06-10,11.177231683398189
2005-06-13,10.698898494565915
2005-06-14,10.278523639860582
2005-06-15,9.831920328292657
2005-06-16,9.421285176553681
2005-06-17,8.913783771187033
2005-06-20,8.474187700818096
2005-06-21,8.10154329074888
2005-06-22,7.744073141294803
2005-06-23,7.881528402364123
2005-06-24,8.08727302854645
2005-06-27,8.210868561484824
2005-06-28,8.41965567255237
2005-06-29,8.533846310513267
2005-06-30,8.550016977549264
2005-07-01,8.571735415447135
2005-07-05,8.654618818825854
2005-07-06,8.831419345867067
2005-07-07,9.000438417188
2005-07-08,9.316395121761339
2005-07-11,9.577918078391486
2005-07-12,9.78353640055645
2005-07-13,9.943449566812173
2005-07-14,10.086715533131082
2005-07-15,10.20532113679322
2005-07-18,10.327568374533147
2005-07-19,10.461657932588743
2005-07-20,10.580887587071157
2005-07-21,10.731189986974519
2005-07-22,10.89987547586761
2005-07-25,10.733970676879434
2005-07-26,10.473407829259452
2005-07-27,10.265090714456507
2005-07-28,10.064918958996872
2005-07-29,9.99249630909809
2005-08-01,9.86073618370066
2005-08-02,9.781788626615805
2005-08-03,9.658442361327818
2005-08-04,9.561826223560631
2005-08-05,9.57704282544911
2005-08-08,9.418162397298966
2005-08-09,9.303282599948945
2005-08-10,9.202941398741606
2005-08-11,9.139337518438767
2005-08-12,9.136766253665039
2005-08-15,9.194403827225177
2005-08-16,9.48117816562434
2005-08-17,9.669777252411654
2005-08-18,9.803042961806973
2005-08-19,9.880850923452028
2005-08-22,9.875106883997619
2005-08-23,9.864197615596842
2005-08-24,9.952409404000807
2005-08-25,10.02631230360537
2005-08-26,10.050074647627888
2005-08-29,10.131702848296843
2005-08-30,10.225429374485984
2005-08-31,10.48413110045999
2005-09-01,10.67908748815144
2005-09-02,10.761869818553727
2005-09-06,10.956433852755886
2005-09-07,11.11079583520283
2005-09-08,11.211756949611654
2005-09-09,11.390713924294287
2005-09-12,11.528697589091957
2005-09-13,11.631739814769968
2005-09-14,11.681817667281114
2005-09-15,11.48626249298189
2005-09-16,11.335259973398356
2005-09-19,11.233245752233175
2005-09-20,11.243966261889472
